task_id,mode,path
PC-WF2-B04,write,src/project_control/workflow_binding.py
PC-WF2-B04,write,src/project_control/todo_authority.py
PC-WF2-B04,write,src/project_control/adapters/todo.py
PC-WF2-B04,write,src/project_control/workflow_tools.py
PC-WF2-B04,write,src/project_control/mutation.py
PC-WF2-B04,write,src/project_control/runtime_identity.py
PC-WF2-B04,write,tests/wf2_acceptance/b
PC-WF2-B04,write,docs/workflow_foundation_v2/contracts/runtime.md
PC-WF2-B04,read,planning/workflow-foundation-v2
PC-WF2-S01,write,src/project_control/workflow_core/plan.py
PC-WF2-S01,write,src/project_control/workflow_core/models.py
PC-WF2-S01,write,src/project_control/workflow_core/migrations.py
PC-WF2-S01,write,src/project_control/workflow_core/task_profiles.py
PC-WF2-S01,write,src/project_control/workflow_core/profile_store.py
PC-WF2-S01,write,src/project_control/preledger.py
PC-WF2-S01,write,schemas/work-profile-v1.schema.json
PC-WF2-S01,write,tests/wf2_acceptance/s
PC-WF2-S01,read,planning/workflow-foundation-v2
PC-WF2-S02,write,src/project_control/workflow_core/plan.py
PC-WF2-S02,write,src/project_control/workflow_core/models.py
PC-WF2-S02,write,src/project_control/workflow_core/migrations.py
PC-WF2-S02,write,src/project_control/workflow_core/task_profiles.py
PC-WF2-S02,write,src/project_control/workflow_core/profile_store.py
PC-WF2-S02,write,src/project_control/preledger.py
PC-WF2-S02,write,schemas/work-profile-v1.schema.json
PC-WF2-S02,write,tests/wf2_acceptance/s
PC-WF2-S02,read,planning/workflow-foundation-v2
PC-WF2-S03,write,src/project_control/workflow_core/plan.py
PC-WF2-S03,write,src/project_control/workflow_core/models.py
PC-WF2-S03,write,src/project_control/workflow_core/migrations.py
PC-WF2-S03,write,src/project_control/workflow_core/task_profiles.py
PC-WF2-S03,write,src/project_control/workflow_core/profile_store.py
PC-WF2-S03,write,src/project_control/preledger.py
PC-WF2-S03,write,schemas/work-profile-v1.schema.json
PC-WF2-S03,write,tests/wf2_acceptance/s
PC-WF2-S03,read,planning/workflow-foundation-v2
PC-WF2-S04,write,src/project_control/workflow_core/plan.py
PC-WF2-S04,write,src/project_control/workflow_core/models.py
PC-WF2-S04,write,src/project_control/workflow_core/migrations.py
PC-WF2-S04,write,src/project_control/workflow_core/task_profiles.py
PC-WF2-S04,write,src/project_control/workflow_core/profile_store.py
PC-WF2-S04,write,src/project_control/preledger.py
PC-WF2-S04,write,schemas/work-profile-v1.schema.json
PC-WF2-S04,write,tests/wf2_acceptance/s
PC-WF2-S04,read,planning/workflow-foundation-v2
PC-WF2-S05,write,src/project_control/workflow_core/plan.py
PC-WF2-S05,write,src/project_control/workflow_core/models.py
PC-WF2-S05,write,src/project_control/workflow_core/migrations.py
PC-WF2-S05,write,src/project_control/workflow_core/task_profiles.py
PC-WF2-S05,write,src/project_control/workflow_core/profile_store.py
PC-WF2-S05,write,src/project_control/preledger.py
PC-WF2-S05,write,schemas/work-profile-v1.schema.json
PC-WF2-S05,write,tests/wf2_acceptance/s
PC-WF2-S05,read,planning/workflow-foundation-v2
PC-WF2-S06,write,src/project_control/workflow_core/plan.py
PC-WF2-S06,write,src/project_control/workflow_core/models.py
PC-WF2-S06,write,src/project_control/workflow_core/migrations.py
PC-WF2-S06,write,src/project_control/workflow_core/task_profiles.py
PC-WF2-S06,write,src/project_control/workflow_core/profile_store.py
PC-WF2-S06,write,src/project_control/preledger.py
PC-WF2-S06,write,schemas/work-profile-v1.schema.json
PC-WF2-S06,write,tests/wf2_acceptance/s
PC-WF2-S06,read,planning/workflow-foundation-v2
PC-WF2-S07,write,src/project_control/workflow_core/plan.py
PC-WF2-S07,write,src/project_control/workflow_core/models.py
PC-WF2-S07,write,src/project_control/workflow_core/migrations.py
PC-WF2-S07,write,src/project_control/workflow_core/task_profiles.py
PC-WF2-S07,write,src/project_control/workflow_core/profile_store.py
PC-WF2-S07,write,src/project_control/preledger.py
PC-WF2-S07,write,schemas/work-profile-v1.schema.json
PC-WF2-S07,write,tests/wf2_acceptance/s
PC-WF2-S07,read,planning/workflow-foundation-v2
PC-WF2-L01,write,src/project_control/workflow_core/workflow/lanes.py
PC-WF2-L01,write,src/project_control/workflow_core/workflow/runs.py
PC-WF2-L01,write,src/project_control/workflow_core/workflow/recovery.py
PC-WF2-L01,write,src/project_control/workflow_core/workflow/workspaces.py
PC-WF2-L01,write,src/project_control/workflow_core/plan.py
PC-WF2-L01,write,src/project_control/workflow_core/readiness.py
PC-WF2-L01,write,tests/wf2_acceptance/l
PC-WF2-L01,read,planning/workflow-foundation-v2
PC-WF2-L02,write,src/project_control/workflow_core/workflow/lanes.py
PC-WF2-L02,write,src/project_control/workflow_core/workflow/runs.py
PC-WF2-L02,write,src/project_control/workflow_core/workflow/recovery.py
PC-WF2-L02,write,src/project_control/workflow_core/workflow/workspaces.py
PC-WF2-L02,write,src/project_control/workflow_core/plan.py
PC-WF2-L02,write,src/project_control/workflow_core/readiness.py
PC-WF2-L02,write,tests/wf2_acceptance/l
PC-WF2-L02,read,planning/workflow-foundation-v2
PC-WF2-L03,write,src/project_control/workflow_core/workflow/lanes.py
PC-WF2-L03,write,src/project_control/workflow_core/workflow/runs.py
PC-WF2-L03,write,src/project_control/workflow_core/workflow/recovery.py
PC-WF2-L03,write,src/project_control/workflow_core/workflow/workspaces.py
PC-WF2-L03,write,src/project_control/workflow_core/plan.py
PC-WF2-L03,write,src/project_control/workflow_core/readiness.py
PC-WF2-L03,write,tests/wf2_acceptance/l
PC-WF2-L03,read,planning/workflow-foundation-v2
PC-WF2-L04,write,src/project_control/workflow_core/workflow/lanes.py
PC-WF2-L04,write,src/project_control/workflow_core/workflow/runs.py
PC-WF2-L04,write,src/project_control/workflow_core/workflow/recovery.py
PC-WF2-L04,write,src/project_control/workflow_core/workflow/workspaces.py
PC-WF2-L04,write,src/project_control/workflow_core/plan.py
PC-WF2-L04,write,src/project_control/workflow_core/readiness.py
PC-WF2-L04,write,tests/wf2_acceptance/l
PC-WF2-L04,read,planning/workflow-foundation-v2
PC-WF2-L05,write,src/project_control/workflow_core/workflow/lanes.py
PC-WF2-L05,write,src/project_control/workflow_core/workflow/runs.py
PC-WF2-L05,write,src/project_control/workflow_core/workflow/recovery.py
PC-WF2-L05,write,src/project_control/workflow_core/workflow/workspaces.py
PC-WF2-L05,write,src/project_control/workflow_core/plan.py
PC-WF2-L05,write,src/project_control/workflow_core/readiness.py
PC-WF2-L05,write,tests/wf2_acceptance/l
PC-WF2-L05,read,planning/workflow-foundation-v2
PC-WF2-R01,write,src/project_control/workflow_core/semantic
PC-WF2-R01,write,src/project_control/workflow_core/read_snapshot.py
PC-WF2-R01,write,src/project_control/snapshot.py
PC-WF2-R01,write,src/project_control/models.py
PC-WF2-R01,write,src/project_control/reconcile.py
PC-WF2-R01,write,src/project_control/workflow.py
PC-WF2-R01,write,tests/wf2_acceptance/r
PC-WF2-R01,read,planning/workflow-foundation-v2
PC-WF2-R02,write,src/project_control/workflow_core/semantic
PC-WF2-R02,write,src/project_control/workflow_core/read_snapshot.py
PC-WF2-R02,write,src/project_control/snapshot.py
PC-WF2-R02,write,src/project_control/models.py
PC-WF2-R02,write,src/project_control/reconcile.py
PC-WF2-R02,write,src/project_control/workflow.py
PC-WF2-R02,write,tests/wf2_acceptance/r
PC-WF2-R02,read,planning/workflow-foundation-v2
PC-WF2-R03,write,src/project_control/workflow_core/semantic
PC-WF2-R03,write,src/project_control/workflow_core/read_snapshot.py
PC-WF2-R03,write,src/project_control/snapshot.py
PC-WF2-R03,write,src/project_control/models.py
PC-WF2-R03,write,src/project_control/reconcile.py
PC-WF2-R03,write,src/project_control/workflow.py
PC-WF2-R03,write,tests/wf2_acceptance/r
PC-WF2-R03,read,planning/workflow-foundation-v2
PC-WF2-R04,write,src/project_control/workflow_core/semantic
PC-WF2-R04,write,src/project_control/workflow_core/read_snapshot.py
PC-WF2-R04,write,src/project_control/snapshot.py
PC-WF2-R04,write,src/project_control/models.py
PC-WF2-R04,write,src/project_control/reconcile.py
PC-WF2-R04,write,src/project_control/workflow.py
PC-WF2-R04,write,tests/wf2_acceptance/r
PC-WF2-R04,read,planning/workflow-foundation-v2
PC-WF2-R05,write,src/project_control/workflow_core/semantic
PC-WF2-R05,write,src/project_control/workflow_core/read_snapshot.py
PC-WF2-R05,write,src/project_control/snapshot.py
PC-WF2-R05,write,src/project_control/models.py
PC-WF2-R05,write,src/project_control/reconcile.py
PC-WF2-R05,write,src/project_control/workflow.py
PC-WF2-R05,write,tests/wf2_acceptance/r
PC-WF2-R05,read,planning/workflow-foundation-v2
PC-WF2-X01,write,docs/workflow_foundation_v2/imports
PC-WF2-X01,write,tests/wf2_acceptance/x
PC-WF2-X01,read,planning/workflow-foundation-v2
PC-WF2-X02,write,docs/workflow_foundation_v2/imports
PC-WF2-X02,write,tests/wf2_acceptance/x
PC-WF2-X02,read,planning/workflow-foundation-v2
PC-WF2-X03,write,docs/workflow_foundation_v2/imports
PC-WF2-X03,write,tests/wf2_acceptance/x
PC-WF2-X03,read,planning/workflow-foundation-v2
PC-WF2-X04,write,docs/workflow_foundation_v2/imports
PC-WF2-X04,write,tests/wf2_acceptance/x
PC-WF2-X04,read,planning/workflow-foundation-v2
PC-WF2-Q01,write,src/project_control/adapters/ctxpp.py
PC-WF2-Q01,write,src/project_control/source_index.py
PC-WF2-Q01,write,src/project_control/services/source_context.py
PC-WF2-Q01,write,tests/wf2_acceptance/q
PC-WF2-Q01,read,planning/workflow-foundation-v2
PC-WF2-Q02,write,src/project_control/adapters/ctxpp.py
PC-WF2-Q02,write,src/project_control/source_index.py
PC-WF2-Q02,write,src/project_control/services/source_context.py
PC-WF2-Q02,write,tests/wf2_acceptance/q
PC-WF2-Q02,read,planning/workflow-foundation-v2
PC-WF2-Q03,write,src/project_control/adapters/ctxpp.py
PC-WF2-Q03,write,src/project_control/source_index.py
PC-WF2-Q03,write,src/project_control/services/source_context.py
PC-WF2-Q03,write,tests/wf2_acceptance/q
PC-WF2-Q03,read,planning/workflow-foundation-v2
PC-WF2-Q04,write,src/project_control/adapters/ctxpp.py
PC-WF2-Q04,write,src/project_control/source_index.py
PC-WF2-Q04,write,src/project_control/services/source_context.py
PC-WF2-Q04,write,tests/wf2_acceptance/q
PC-WF2-Q04,read,planning/workflow-foundation-v2
PC-WF2-T01,write,src/project_control/normalize.py
PC-WF2-T01,write,src/project_control/response_budget.py
PC-WF2-T01,write,src/project_control/observation_refs.py
PC-WF2-T01,write,src/project_control/services/source_context.py
PC-WF2-T01,write,src/project_control/services/overview.py
PC-WF2-T01,write,src/project_control/services/frontier.py
PC-WF2-T01,write,src/project_control/services/planning.py
PC-WF2-T01,write,tests/wf2_acceptance/t
PC-WF2-T01,read,planning/workflow-foundation-v2
PC-WF2-T02,write,src/project_control/normalize.py
PC-WF2-T02,write,src/project_control/response_budget.py
PC-WF2-T02,write,src/project_control/observation_refs.py
PC-WF2-T02,write,src/project_control/services/source_context.py
PC-WF2-T02,write,src/project_control/services/overview.py
PC-WF2-T02,write,src/project_control/services/frontier.py
PC-WF2-T02,write,src/project_control/services/planning.py
PC-WF2-T02,write,tests/wf2_acceptance/t
PC-WF2-T02,read,planning/workflow-foundation-v2
PC-WF2-T03,write,src/project_control/normalize.py
PC-WF2-T03,write,src/project_control/response_budget.py
PC-WF2-T03,write,src/project_control/observation_refs.py
PC-WF2-T03,write,src/project_control/services/source_context.py
PC-WF2-T03,write,src/project_control/services/overview.py
PC-WF2-T03,write,src/project_control/services/frontier.py
PC-WF2-T03,write,src/project_control/services/planning.py
PC-WF2-T03,write,tests/wf2_acceptance/t
PC-WF2-T03,read,planning/workflow-foundation-v2
PC-WF2-T04,write,src/project_control/normalize.py
PC-WF2-T04,write,src/project_control/response_budget.py
PC-WF2-T04,write,src/project_control/observation_refs.py
PC-WF2-T04,write,src/project_control/services/source_context.py
PC-WF2-T04,write,src/project_control/services/overview.py
PC-WF2-T04,write,src/project_control/services/frontier.py
PC-WF2-T04,write,src/project_control/services/planning.py
PC-WF2-T04,write,tests/wf2_acceptance/t
PC-WF2-T04,read,planning/workflow-foundation-v2
PC-WF2-T05,write,src/project_control/normalize.py
PC-WF2-T05,write,src/project_control/response_budget.py
PC-WF2-T05,write,src/project_control/observation_refs.py
PC-WF2-T05,write,src/project_control/services/source_context.py
PC-WF2-T05,write,src/project_control/services/overview.py
PC-WF2-T05,write,src/project_control/services/frontier.py
PC-WF2-T05,write,src/project_control/services/planning.py
PC-WF2-T05,write,tests/wf2_acceptance/t
PC-WF2-T05,read,planning/workflow-foundation-v2
PC-WF2-T06,write,src/project_control/normalize.py
PC-WF2-T06,write,src/project_control/response_budget.py
PC-WF2-T06,write,src/project_control/observation_refs.py
PC-WF2-T06,write,src/project_control/services/source_context.py
PC-WF2-T06,write,src/project_control/services/overview.py
PC-WF2-T06,write,src/project_control/services/frontier.py
PC-WF2-T06,write,src/project_control/services/planning.py
PC-WF2-T06,write,tests/wf2_acceptance/t
PC-WF2-T06,write,docs/workflow_foundation_v2/contracts/compact-reads.md
PC-WF2-T06,read,planning/workflow-foundation-v2
PC-WF2-G01,write,src/project_control/retrieval.py
PC-WF2-G01,write,src/project_control/graph.py
PC-WF2-G01,write,src/project_control/proposals.py
PC-WF2-G01,write,src/project_control/services/architecture.py
PC-WF2-G01,write,src/project_control/services/history.py
PC-WF2-G01,write,src/project_control/services/program.py
PC-WF2-G01,write,src/project_control/query
PC-WF2-G01,write,tests/wf2_acceptance/g
PC-WF2-G01,read,planning/workflow-foundation-v2
PC-WF2-G02,write,src/project_control/retrieval.py
PC-WF2-G02,write,src/project_control/graph.py
PC-WF2-G02,write,src/project_control/proposals.py
PC-WF2-G02,write,src/project_control/services/architecture.py
PC-WF2-G02,write,src/project_control/services/history.py
PC-WF2-G02,write,src/project_control/services/program.py
PC-WF2-G02,write,src/project_control/query
PC-WF2-G02,write,tests/wf2_acceptance/g
PC-WF2-G02,read,planning/workflow-foundation-v2
PC-WF2-G03,write,src/project_control/retrieval.py
PC-WF2-G03,write,src/project_control/graph.py
PC-WF2-G03,write,src/project_control/proposals.py
PC-WF2-G03,write,src/project_control/services/architecture.py
PC-WF2-G03,write,src/project_control/services/history.py
PC-WF2-G03,write,src/project_control/services/program.py
PC-WF2-G03,write,src/project_control/query
PC-WF2-G03,write,tests/wf2_acceptance/g
PC-WF2-G03,read,planning/workflow-foundation-v2
PC-WF2-E01,write,src/project_control/admin.py
PC-WF2-E01,write,src/project_control/workflow_core/external_operations.py
PC-WF2-E01,write,src/project_control/workflow_core/workflow/workspaces.py
PC-WF2-E01,write,tests/wf2_acceptance/e
PC-WF2-E01,read,planning/workflow-foundation-v2
PC-WF2-E02,write,src/project_control/admin.py
PC-WF2-E02,write,src/project_control/workflow_core/external_operations.py
PC-WF2-E02,write,src/project_control/workflow_core/workflow/workspaces.py
PC-WF2-E02,write,tests/wf2_acceptance/e
PC-WF2-E02,read,planning/workflow-foundation-v2
PC-WF2-E03,write,src/project_control/admin.py
PC-WF2-E03,write,src/project_control/workflow_core/external_operations.py
PC-WF2-E03,write,src/project_control/workflow_core/workflow/workspaces.py
PC-WF2-E03,write,tests/wf2_acceptance/e
PC-WF2-E03,read,planning/workflow-foundation-v2
PC-WF2-D01,write,docs/workflow_foundation_v2/agents
PC-WF2-D01,write,docs/CODEX_SETUP.md
PC-WF2-D01,write,docs/MIGRATION.md
PC-WF2-D01,write,tests/wf2_acceptance/d
PC-WF2-D01,read,planning/workflow-foundation-v2
PC-WF2-D02,write,docs/workflow_foundation_v2/agents
PC-WF2-D02,write,docs/CODEX_SETUP.md
PC-WF2-D02,write,docs/MIGRATION.md
PC-WF2-D02,write,tests/wf2_acceptance/d
PC-WF2-D02,read,planning/workflow-foundation-v2
PC-WF2-D03,write,docs/workflow_foundation_v2/agents
PC-WF2-D03,write,docs/CODEX_SETUP.md
PC-WF2-D03,write,docs/MIGRATION.md
PC-WF2-D03,write,tests/wf2_acceptance/d
PC-WF2-D03,read,planning/workflow-foundation-v2
PC-WF2-D04,write,docs/workflow_foundation_v2/agents
PC-WF2-D04,write,docs/CODEX_SETUP.md
PC-WF2-D04,write,docs/MIGRATION.md
PC-WF2-D04,write,tests/wf2_acceptance/d
PC-WF2-D04,read,planning/workflow-foundation-v2
PC-WF2-I00,write,pyproject.toml
PC-WF2-I00,write,uv.lock
PC-WF2-I00,write,packaging
PC-WF2-I00,write,scripts
PC-WF2-I00,write,src/project_control/app.py
PC-WF2-I00,write,src/project_control/cli.py
PC-WF2-I00,write,docs/workflow_foundation_v2/integration
PC-WF2-I00,write,README.md
PC-WF2-I00,write,tests/wf2_acceptance/i
PC-WF2-I00,read,planning/workflow-foundation-v2
PC-WF2-I10,write,pyproject.toml
PC-WF2-I10,write,uv.lock
PC-WF2-I10,write,packaging
PC-WF2-I10,write,scripts
PC-WF2-I10,write,src/project_control/app.py
PC-WF2-I10,write,src/project_control/cli.py
PC-WF2-I10,write,docs/workflow_foundation_v2/integration
PC-WF2-I10,write,README.md
PC-WF2-I10,write,tests/wf2_acceptance/i
PC-WF2-I10,read,planning/workflow-foundation-v2
PC-WF2-I20,write,pyproject.toml
PC-WF2-I20,write,uv.lock
PC-WF2-I20,write,packaging
PC-WF2-I20,write,scripts
PC-WF2-I20,write,src/project_control/app.py
PC-WF2-I20,write,src/project_control/cli.py
PC-WF2-I20,write,docs/workflow_foundation_v2/integration
PC-WF2-I20,write,README.md
PC-WF2-I20,write,tests/wf2_acceptance/i
PC-WF2-I20,read,planning/workflow-foundation-v2
PC-WF2-I30,write,pyproject.toml
PC-WF2-I30,write,uv.lock
PC-WF2-I30,write,packaging
PC-WF2-I30,write,scripts
PC-WF2-I30,write,src/project_control/app.py
PC-WF2-I30,write,src/project_control/cli.py
PC-WF2-I30,write,docs/workflow_foundation_v2/integration
PC-WF2-I30,write,README.md
PC-WF2-I30,write,tests/wf2_acceptance/i
PC-WF2-I30,read,planning/workflow-foundation-v2
PC-WF2-I40,write,pyproject.toml
PC-WF2-I40,write,uv.lock
PC-WF2-I40,write,packaging
PC-WF2-I40,write,scripts
PC-WF2-I40,write,src/project_control/app.py
PC-WF2-I40,write,src/project_control/cli.py
PC-WF2-I40,write,docs/workflow_foundation_v2/integration
PC-WF2-I40,write,README.md
PC-WF2-I40,write,tests/wf2_acceptance/i
PC-WF2-I40,read,planning/workflow-foundation-v2
PC-WF2-I50,write,pyproject.toml
PC-WF2-I50,write,uv.lock
PC-WF2-I50,write,packaging
PC-WF2-I50,write,scripts
PC-WF2-I50,write,src/project_control/app.py
PC-WF2-I50,write,src/project_control/cli.py
PC-WF2-I50,write,docs/workflow_foundation_v2/integration
PC-WF2-I50,write,README.md
PC-WF2-I50,write,tests/wf2_acceptance/i
PC-WF2-I50,read,planning/workflow-foundation-v2
PC-WF2-I90,write,pyproject.toml
PC-WF2-I90,write,uv.lock
PC-WF2-I90,write,packaging
PC-WF2-I90,write,scripts
PC-WF2-I90,write,src/project_control/app.py
PC-WF2-I90,write,src/project_control/cli.py
PC-WF2-I90,write,docs/workflow_foundation_v2/integration
PC-WF2-I90,write,README.md
PC-WF2-I90,write,tests/wf2_acceptance/i
PC-WF2-I90,read,planning/workflow-foundation-v2
